"file","sockets","room_size","handshake_pct","ws_errors","conn_p95_ms","e2e_p50_ms","e2e_p95_ms","sent_per_s","recv_per_s","complete_pct"
"conn_10000","10000","2","100","8","2",,,"0","0",
"conn_12000","12000","2","100","19","3",,,"0","0",
